"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0604 Aneby","inom 400 meter från hållplats","samtliga bostäder",1631,1631,1687,1718,1689,1706,1720,1719
"0617 Gnosjö","inom 400 meter från hållplats","samtliga bostäder",1486,1486,1491,1536,1657,1662,2088,1971
"0642 Mullsjö","inom 400 meter från hållplats","samtliga bostäder",2131,2135,2144,2174,2208,2220,1966,1962
"0643 Habo","inom 400 meter från hållplats","samtliga bostäder",2890,2866,2933,2979,2990,2983,2666,3056
"0662 Gislaved","inom 400 meter från hållplats","samtliga bostäder",6820,6608,6642,6550,6650,6682,6631,6676
"0665 Vaggeryd","inom 400 meter från hållplats","samtliga bostäder",2740,2733,2737,2764,2806,2986,2953,2953
"0680 Jönköping","inom 400 meter från hållplats","samtliga bostäder",55862,56169,56906,58099,58967,59952,60429,60924
"0682 Nässjö","inom 400 meter från hållplats","samtliga bostäder",11275,11769,11770,11903,12206,12286,11994,12282
"0683 Värnamo","inom 400 meter från hållplats","samtliga bostäder",8152,9379,9550,9795,11392,11474,10900,11422
"0684 Sävsjö","inom 400 meter från hållplats","samtliga bostäder",2486,2477,2471,2533,2546,2643,2363,2557
"0685 Vetlanda","inom 400 meter från hållplats","samtliga bostäder",7183,7029,8161,8462,8907,8905,7513,8907
"0686 Eksjö","inom 400 meter från hållplats","samtliga bostäder",5401,5536,5412,5509,5713,5766,5667,5748
"0687 Tranås","inom 400 meter från hållplats","samtliga bostäder",4539,4656,4539,4559,4772,4884,4311,4482
"0760 Uppvidinge","inom 400 meter från hållplats","samtliga bostäder",2573,2573,2574,2646,2714,2758,2710,2736
"0761 Lessebo","inom 400 meter från hållplats","samtliga bostäder",2154,2154,2182,2294,2355,2372,2391,2462
"0763 Tingsryd","inom 400 meter från hållplats","samtliga bostäder",3224,3261,3273,3319,3367,3365,3372,3364
"0764 Alvesta","inom 400 meter från hållplats","samtliga bostäder",4647,4510,4669,4708,5228,5256,5331,5290
"0765 Älmhult","inom 400 meter från hållplats","samtliga bostäder",3448,3663,3576,3466,4659,4765,4876,4928
"0767 Markaryd","inom 400 meter från hållplats","samtliga bostäder",2295,2421,2421,2433,2456,2451,2455,2480
"0780 Växjö","inom 400 meter från hållplats","samtliga bostäder",35189,35446,35770,36643,38771,39317,39874,40627
"0781 Ljungby","inom 400 meter från hållplats","samtliga bostäder",4708,4986,5021,5102,5216,5447,5468,5497
"0821 Högsby","inom 400 meter från hållplats","samtliga bostäder",1484,1484,1484,1600,1739,1735,1750,1747
"0834 Torsås","inom 400 meter från hållplats","samtliga bostäder",1490,1490,1491,1501,1499,1477,1479,1466
"0840 Mörbylånga","inom 400 meter från hållplats","samtliga bostäder",3778,3883,3942,3500,3699,3742,3763,3803
"0860 Hultsfred","inom 400 meter från hållplats","samtliga bostäder",3669,3945,3959,3951,4057,4495,4097,4089
"0861 Mönsterås","inom 400 meter från hållplats","samtliga bostäder",3774,3762,3782,3827,4094,4093,4274,4268
"0862 Emmaboda","inom 400 meter från hållplats","samtliga bostäder",1115,1115,1024,1028,1027,1042,1037,1049
"0880 Kalmar","inom 400 meter från hållplats","samtliga bostäder",25530,25549,25449,25570,26765,27405,27557,27983
"0881 Nybro","inom 400 meter från hållplats","samtliga bostäder",3571,3613,3591,3636,4390,5036,4175,4261
"0882 Oskarshamn","inom 400 meter från hållplats","samtliga bostäder",10199,10204,10229,10328,10497,10498,10388,10408
"0883 Västervik","inom 400 meter från hållplats","samtliga bostäder",12679,12554,12593,12535,14115,13401,13205,13231
"0884 Vimmerby","inom 400 meter från hållplats","samtliga bostäder",4073,4081,4081,4111,4332,4344,4175,4219
"0885 Borgholm","inom 400 meter från hållplats","samtliga bostäder",1797,1809,1987,1917,2158,2009,1967,1817
"0980 Gotland","inom 400 meter från hållplats","samtliga bostäder",14763,15145,15866,15951,17450,17742,18412,18554
"1060 Olofström","inom 400 meter från hållplats","samtliga bostäder",3966,3843,3747,3749,3536,3528,3472,3864
"1080 Karlskrona","inom 400 meter från hållplats","samtliga bostäder",23158,23184,23194,24113,24443,24345,24726,24863
"1081 Ronneby","inom 400 meter från hållplats","samtliga bostäder",8327,8473,8368,8365,8831,8982,8885,8935
"1082 Karlshamn","inom 400 meter från hållplats","samtliga bostäder",11850,11515,11645,11795,12170,12152,12050,11913
"1083 Sölvesborg","inom 400 meter från hållplats","samtliga bostäder",5551,5635,5620,5551,5508,5437,5477,5488
"1214 Svalöv","inom 400 meter från hållplats","samtliga bostäder",3021,3072,3078,3204,3227,3156,3204,3256
"1230 Staffanstorp","inom 400 meter från hållplats","samtliga bostäder",6000,6019,6536,6475,6589,6814,6910,6962
"1231 Burlöv","inom 400 meter från hållplats","samtliga bostäder",5488,5496,5317,5393,5379,5623,6251,6302
"1233 Vellinge","inom 400 meter från hållplats","samtliga bostäder",8287,8224,8367,8570,8816,8759,8810,8976
"1256 Östra Göinge","inom 400 meter från hållplats","samtliga bostäder",3182,3073,3031,3097,3110,3133,3135,3128
"1257 Örkelljunga","inom 400 meter från hållplats","samtliga bostäder",1983,1997,2010,2008,2086,2099,2107,2116
"1260 Bjuv","inom 400 meter från hållplats","samtliga bostäder",4446,4447,4447,4456,4491,4525,4531,4224
"1261 Kävlinge","inom 400 meter från hållplats","samtliga bostäder",5125,5536,5171,5269,5340,5420,5538,5544
"1262 Lomma","inom 400 meter från hållplats","samtliga bostäder",6687,6756,6943,7118,7372,7527,7946,7936
"1263 Svedala","inom 400 meter från hållplats","samtliga bostäder",5689,5729,5752,5971,6121,6282,6339,6437
"1264 Skurup","inom 400 meter från hållplats","samtliga bostäder",2171,2180,2436,2449,2530,2610,2769,2917
"1265 Sjöbo","inom 400 meter från hållplats","samtliga bostäder",3014,3713,2900,2991,3030,3042,3029,3045
"1266 Hörby","inom 400 meter från hållplats","samtliga bostäder",2169,2204,2206,2219,2070,2340,2360,2440
"1267 Höör","inom 400 meter från hållplats","samtliga bostäder",3881,3955,3894,3913,3945,3966,3951,4116
"1270 Tomelilla","inom 400 meter från hållplats","samtliga bostäder",2010,2349,2012,2053,2392,2831,2850,2859
"1272 Bromölla","inom 400 meter från hållplats","samtliga bostäder",3100,3100,3100,3111,3044,3088,3078,3086
"1273 Osby","inom 400 meter från hållplats","samtliga bostäder",2516,2788,2790,2830,2853,2859,2884,2598
"1275 Perstorp","inom 400 meter från hållplats","samtliga bostäder",628,628,628,626,632,626,620,671
"1276 Klippan","inom 400 meter från hållplats","samtliga bostäder",3570,3582,3583,3600,3611,3612,3669,3695
"1277 Åstorp","inom 400 meter från hållplats","samtliga bostäder",3973,3974,3835,3872,3918,3934,4415,3938
"1278 Båstad","inom 400 meter från hållplats","samtliga bostäder",3349,3358,3078,3707,3847,3915,4029,4022
"1280 Malmö","inom 400 meter från hållplats","samtliga bostäder",148582,149741,151212,155107,158864,161209,164588,166857
"1281 Lund","inom 400 meter från hållplats","samtliga bostäder",52831,53419,54169,55129,55828,57752,57979,59375
"1282 Landskrona","inom 400 meter från hållplats","samtliga bostäder",17766,17873,17949,18080,18271,18341,18195,18661
"1283 Helsingborg","inom 400 meter från hållplats","samtliga bostäder",60414,60621,61714,63341,64646,65297,65613,66334
"1284 Höganäs","inom 400 meter från hållplats","samtliga bostäder",8395,8403,8469,8530,8615,8628,8835,8789
"1285 Eslöv","inom 400 meter från hållplats","samtliga bostäder",10890,11023,11199,11044,11087,11192,11447,10936
"1286 Ystad","inom 400 meter från hållplats","samtliga bostäder",11362,11519,11383,11606,12004,12156,12399,12793
"1287 Trelleborg","inom 400 meter från hållplats","samtliga bostäder",15992,16126,16186,16501,17012,17102,16680,16933
"1290 Kristianstad","inom 400 meter från hållplats","samtliga bostäder",26298,26490,26872,27048,27375,28190,28302,28403
"1291 Simrishamn","inom 400 meter från hållplats","samtliga bostäder",5521,7424,5985,5988,6740,6788,6741,6836
"1292 Ängelholm","inom 400 meter från hållplats","samtliga bostäder",14858,14932,15139,15292,15957,16300,16532,16852
"1293 Hässleholm","inom 400 meter från hållplats","samtliga bostäder",12973,13874,13876,13948,13929,13694,13935,13773
"1315 Hylte","inom 400 meter från hållplats","samtliga bostäder",2376,2376,2352,2347,2468,2490,2556,2538
"1380 Halmstad","inom 400 meter från hållplats","samtliga bostäder",40529,40674,41043,41494,42736,43250,44036,44425
"1381 Laholm","inom 400 meter från hållplats","samtliga bostäder",6760,6770,6413,6453,7213,6824,6931,7205
"1382 Falkenberg","inom 400 meter från hållplats","samtliga bostäder",14217,14180,13742,13924,14500,14911,15077,15376
"1383 Varberg","inom 400 meter från hållplats","samtliga bostäder",20526,20469,20305,20629,21456,21781,22008,22577
"1384 Kungsbacka","inom 400 meter från hållplats","samtliga bostäder",19130,19338,19883,20372,21066,21161,22165,21939
"1401 Härryda","inom 400 meter från hållplats","samtliga bostäder",10629,10730,10732,10941,10964,11177,11517,11892
"1402 Partille","inom 400 meter från hållplats","samtliga bostäder",13544,13663,13761,14066,14646,14736,14752,14755
"1407 Öckerö","inom 400 meter från hållplats","samtliga bostäder",4190,4212,4242,4327,4325,4564,4578,4577
"1415 Stenungsund","inom 400 meter från hållplats","samtliga bostäder",7223,7196,7283,7482,7518,7697,7894,8132
"1419 Tjörn","inom 400 meter från hållplats","samtliga bostäder",3498,3504,3501,4025,4425,4333,4422,4419
