"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"0583 Motala","totalt","totalt 16+ år","totalt",227.1,234.4,242.1,249.2,256.3,263.3,269.0,278.1
"0584 Vadstena","totalt","totalt 16+ år","totalt",229.3,238.6,244.4,253.4,261.3,267.6,275.9,283.8
"0586 Mjölby","totalt","totalt 16+ år","totalt",237.6,246.4,259.1,267.5,275.6,285.0,291.6,302.2
"0604 Aneby","totalt","totalt 16+ år","totalt",237.5,242.8,256.2,265.8,270.5,278.6,284.8,292.8
"0617 Gnosjö","totalt","totalt 16+ år","totalt",252.8,263.0,268.8,279.3,288.7,294.0,294.9,307.4
"0642 Mullsjö","totalt","totalt 16+ år","totalt",238.5,247.3,257.5,261.3,272.5,278.4,281.8,292.3
"0643 Habo","totalt","totalt 16+ år","totalt",269.3,277.1,286.8,296.8,304.9,313.4,319.6,328.5
"0662 Gislaved","totalt","totalt 16+ år","totalt",247.8,255.2,266.3,274.9,282.9,288.3,292.4,303.1
"0665 Vaggeryd","totalt","totalt 16+ år","totalt",255.0,262.0,271.9,280.8,288.3,295.1,297.9,309.7
"0680 Jönköping","totalt","totalt 16+ år","totalt",250.2,258.6,268.9,278.8,288.0,294.3,298.4,308.5
"0682 Nässjö","totalt","totalt 16+ år","totalt",233.6,240.7,251.1,260.5,266.5,271.9,276.4,285.9
"0683 Värnamo","totalt","totalt 16+ år","totalt",256.2,263.5,273.7,283.2,292.8,298.5,301.7,312.3
"0684 Sävsjö","totalt","totalt 16+ år","totalt",226.4,236.6,245.1,256.3,263.1,266.7,267.3,275.4
"0685 Vetlanda","totalt","totalt 16+ år","totalt",240.4,247.8,256.8,266.2,270.7,275.4,278.7,289.3
"0686 Eksjö","totalt","totalt 16+ år","totalt",241.0,249.1,258.6,263.5,267.6,275.1,279.3,287.4
"0687 Tranås","totalt","totalt 16+ år","totalt",223.1,231.7,240.3,249.8,257.5,263.8,263.7,272.7
"0760 Uppvidinge","totalt","totalt 16+ år","totalt",227.8,234.9,243.1,251.9,259.2,264.3,269.4,277.9
"0761 Lessebo","totalt","totalt 16+ år","totalt",218.4,220.1,230.5,235.5,240.5,246.4,250.1,258.8
"0763 Tingsryd","totalt","totalt 16+ år","totalt",215.0,220.4,230.2,238.1,245.1,252.8,256.1,263.8
"0764 Alvesta","totalt","totalt 16+ år","totalt",233.8,240.7,250.6,257.7,263.2,269.9,270.5,277.7
"0765 Älmhult","totalt","totalt 16+ år","totalt",247.1,257.3,267.6,273.0,278.6,287.7,292.9,303.0
"0767 Markaryd","totalt","totalt 16+ år","totalt",214.4,222.0,230.7,233.7,241.9,247.4,251.1,265.4
"0780 Växjö","totalt","totalt 16+ år","totalt",245.7,253.4,263.2,271.2,278.8,284.2,286.7,295.3
"0781 Ljungby","totalt","totalt 16+ år","totalt",234.3,243.2,253.1,261.6,268.1,274.0,277.8,287.2
"0821 Högsby","totalt","totalt 16+ år","totalt",201.1,208.3,214.8,218.5,224.6,228.5,236.5,242.6
