"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"2039 Älvdalen","totalt","totalt 16+ år","totalt",218.7,230.4,243.5,244.9,252.2,258.3,263.7,269.5
"2061 Smedjebacken","totalt","totalt 16+ år","totalt",242.0,246.0,254.7,264.9,271.4,274.1,280.8,287.2
"2062 Mora","totalt","totalt 16+ år","totalt",238.6,247.1,256.1,264.8,270.6,278.0,281.1,285.7
"2080 Falun","totalt","totalt 16+ år","totalt",251.3,259.3,268.1,276.1,283.8,290.2,297.0,307.5
"2081 Borlänge","totalt","totalt 16+ år","totalt",237.5,245.7,252.9,259.8,265.5,271.6,276.2,283.0
"2082 Säter","totalt","totalt 16+ år","totalt",244.8,254.0,263.5,270.4,276.3,281.6,285.7,293.0
"2083 Hedemora","totalt","totalt 16+ år","totalt",227.6,234.7,244.3,247.8,254.2,257.7,263.1,272.3
"2084 Avesta","totalt","totalt 16+ år","totalt",235.2,239.0,245.5,251.1,257.7,264.6,272.1,280.4
"2085 Ludvika","totalt","totalt 16+ år","totalt",236.4,242.2,248.2,254.1,258.4,262.0,268.1,278.4
"2101 Ockelbo","totalt","totalt 16+ år","totalt",219.8,224.6,232.5,239.9,242.1,248.3,254.1,261.1
"2104 Hofors","totalt","totalt 16+ år","totalt",237.4,241.9,252.0,258.4,265.1,269.6,274.2,283.1
"2121 Ovanåker","totalt","totalt 16+ år","totalt",220.5,229.5,236.8,243.8,252.0,256.9,260.6,270.9
"2132 Nordanstig","totalt","totalt 16+ år","totalt",216.9,225.9,234.2,242.3,245.5,249.5,254.5,263.3
"2161 Ljusdal","totalt","totalt 16+ år","totalt",219.3,224.1,231.4,237.5,244.4,251.4,257.0,265.6
"2180 Gävle","totalt","totalt 16+ år","totalt",241.4,249.7,260.7,268.6,275.5,281.2,285.6,294.6
"2181 Sandviken","totalt","totalt 16+ år","totalt",235.2,239.8,246.3,250.5,256.6,262.5,268.2,275.9
"2182 Söderhamn","totalt","totalt 16+ år","totalt",222.3,227.8,237.5,244.4,249.6,253.4,260.5,267.9
"2183 Bollnäs","totalt","totalt 16+ år","totalt",221.5,227.6,235.4,243.2,248.6,253.4,257.6,265.4
"2184 Hudiksvall","totalt","totalt 16+ år","totalt",233.3,240.1,247.5,256.9,263.7,268.9,274.7,284.5
"2260 Ånge","totalt","totalt 16+ år","totalt",225.5,230.0,241.5,245.5,252.5,259.7,266.5,271.7
"2262 Timrå","totalt","totalt 16+ år","totalt",242.5,249.5,258.6,267.8,274.1,280.6,286.0,297.4
"2280 Härnösand","totalt","totalt 16+ år","totalt",229.2,233.9,241.8,247.7,253.2,257.0,263.0,272.2
"2281 Sundsvall","totalt","totalt 16+ år","totalt",254.7,263.9,272.9,281.0,288.4,296.0,301.4,309.0
"2282 Kramfors","totalt","totalt 16+ år","totalt",220.3,226.8,232.9,239.5,243.9,245.8,252.6,263.0
"2283 Sollefteå","totalt","totalt 16+ år","totalt",217.0,222.6,231.8,237.9,241.9,245.6,254.3,261.9
"2284 Örnsköldsvik","totalt","totalt 16+ år","totalt",244.9,252.8,261.9,266.7,273.4,279.5,284.6,294.4
"2303 Ragunda","totalt","totalt 16+ år","totalt",214.6,220.2,227.8,233.5,237.6,243.6,251.7,261.1
"2305 Bräcke","totalt","totalt 16+ år","totalt",211.9,216.1,225.0,232.6,236.6,240.0,251.0,258.2
"2309 Krokom","totalt","totalt 16+ år","totalt",245.0,254.0,264.2,272.6,280.3,286.5,293.8,304.2
"2313 Strömsund","totalt","totalt 16+ år","totalt",211.9,217.9,225.5,230.8,237.9,243.5,249.9,257.7
"2321 Åre","totalt","totalt 16+ år","totalt",226.5,239.5,249.8,260.2,268.4,275.5,278.4,289.5
"2326 Berg","totalt","totalt 16+ år","totalt",211.3,219.3,228.5,230.9,236.8,241.7,250.2,258.0
"2361 Härjedalen","totalt","totalt 16+ år","totalt",217.2,228.2,239.0,245.9,248.0,254.7,260.6,269.6
"2380 Östersund","totalt","totalt 16+ år","totalt",241.9,249.8,258.9,267.0,274.7,279.2,284.9,293.4
"2401 Nordmaling","totalt","totalt 16+ år","totalt",221.1,230.9,240.9,245.4,252.8,258.2,263.4,272.5
"2403 Bjurholm","totalt","totalt 16+ år","totalt",201.6,211.2,218.6,227.0,230.7,235.0,243.5,252.7
"2404 Vindeln","totalt","totalt 16+ år","totalt",221.4,226.8,238.2,242.8,250.8,255.6,261.9,270.5
"2409 Robertsfors","totalt","totalt 16+ år","totalt",233.0,238.5,246.3,252.0,259.0,264.8,275.4,282.3
"2417 Norsjö","totalt","totalt 16+ år","totalt",226.4,230.8,241.8,244.7,251.6,258.7,267.1,276.3
"2418 Malå","totalt","totalt 16+ år","totalt",239.0,242.0,253.5,257.9,264.3,265.6,266.2,275.2
"2421 Storuman","totalt","totalt 16+ år","totalt",215.2,224.5,234.5,244.4,247.4,256.0,258.8,264.5
"2422 Sorsele","totalt","totalt 16+ år","totalt",213.9,225.7,233.3,240.7,254.8,249.3,257.6,263.9
"2425 Dorotea","totalt","totalt 16+ år","totalt",215.7,222.3,230.0,232.5,241.5,245.0,249.7,265.4
"2460 Vännäs","totalt","totalt 16+ år","totalt",236.1,245.8,252.4,257.2,263.3,274.1,281.9,292.2
"2462 Vilhelmina","totalt","totalt 16+ år","totalt",210.9,220.4,231.0,236.8,243.9,245.0,247.0,252.8
"2463 Åsele","totalt","totalt 16+ år","totalt",206.6,210.8,218.0,219.2,225.2,234.5,241.5,247.4
"2480 Umeå","totalt","totalt 16+ år","totalt",248.9,257.5,266.7,274.4,280.8,286.3,291.1,300.8
"2481 Lycksele","totalt","totalt 16+ år","totalt",233.6,240.8,248.2,251.4,260.1,267.2,275.9,285.3
"2482 Skellefteå","totalt","totalt 16+ år","totalt",242.6,251.7,261.8,270.1,277.4,286.3,290.7,301.4
"2505 Arvidsjaur","totalt","totalt 16+ år","totalt",235.8,241.6,254.4,257.5,267.3,273.8,278.3,286.0
"2506 Arjeplog","totalt","totalt 16+ år","totalt",226.7,240.3,253.7,260.2,260.5,265.3,270.3,283.5
"2510 Jokkmokk","totalt","totalt 16+ år","totalt",227.8,232.7,243.5,249.4,256.4,261.2,270.8,278.8
"2513 Överkalix","totalt","totalt 16+ år","totalt",217.0,224.4,233.2,237.8,243.2,246.0,255.1,262.4
"2514 Kalix","totalt","totalt 16+ år","totalt",233.6,241.2,249.3,257.5,265.7,270.9,277.5,284.8
"2518 Övertorneå","totalt","totalt 16+ år","totalt",207.5,215.6,223.1,228.1,231.3,236.5,245.8,250.3
"2521 Pajala","totalt","totalt 16+ år","totalt",225.7,221.0,231.0,232.1,237.9,248.1,256.8,264.7
"2523 Gällivare","totalt","totalt 16+ år","totalt",275.7,284.3,295.3,304.1,316.1,323.2,331.6,346.5
"2560 Älvsbyn","totalt","totalt 16+ år","totalt",225.3,232.1,241.5,246.7,253.0,259.7,264.6,273.3
"2580 Luleå","totalt","totalt 16+ år","totalt",255.5,264.0,273.7,280.3,288.1,296.2,300.9,311.1
"2581 Piteå","totalt","totalt 16+ år","totalt",249.6,258.6,268.3,275.5,283.5,291.0,296.2,306.8
"2582 Boden","totalt","totalt 16+ år","totalt",243.8,252.0,261.6,267.3,274.8,280.2,284.7,294.3
"2583 Haparanda","totalt","totalt 16+ år","totalt",212.3,217.4,226.0,229.5,234.3,239.9,246.4,250.6
"2584 Kiruna","totalt","totalt 16+ år","totalt",290.7,298.4,304.1,308.6,316.6,325.4,334.5,346.9
