"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0186 Lidingö","inom 2000 meter från hållplats","samtliga bostäder",20235,20568,20681,20985,21353,21460,21736,21804
"0187 Vaxholm","inom 2000 meter från hållplats","samtliga bostäder",4516,4586,4669,4898,5074,5100,5201,5197
"0188 Norrtälje","inom 2000 meter från hållplats","samtliga bostäder",24525,24777,25088,26033,28313,29185,29200,29662
"0191 Sigtuna","inom 2000 meter från hållplats","samtliga bostäder",17993,18182,18731,18839,19127,19587,19644,19965
"0192 Nynäshamn","inom 2000 meter från hållplats","samtliga bostäder",12114,12201,12264,12411,12824,12918,12949,13407
"0305 Håbo","inom 2000 meter från hållplats","samtliga bostäder",8055,8095,8183,8342,8716,8927,8943,9263
"0319 Älvkarleby","inom 2000 meter från hållplats","samtliga bostäder",4260,4246,4251,4286,4420,4572,4619,4636
"0330 Knivsta","inom 2000 meter från hållplats","samtliga bostäder",5918,6066,6172,6435,6750,6778,7268,7548
"0331 Heby","inom 2000 meter från hållplats","samtliga bostäder",5301,5333,5340,5348,5500,5568,5602,5741
"0360 Tierp","inom 2000 meter från hållplats","samtliga bostäder",8830,8827,8845,8974,8907,8926,9116,9118
"0380 Uppsala","inom 2000 meter från hållplats","samtliga bostäder",98180,99912,101937,105136,108541,110781,112689,115031
"0381 Enköping","inom 2000 meter från hållplats","samtliga bostäder",15581,16084,16367,16592,17995,18798,19147,19431
"0382 Östhammar","inom 2000 meter från hållplats","samtliga bostäder",8669,8730,8747,8821,9062,9100,9077,9131
"0428 Vingåker","inom 2000 meter från hållplats","samtliga bostäder",3529,3536,3567,3603,4034,4004,4008,4046
"0461 Gnesta","inom 2000 meter från hållplats","samtliga bostäder",4149,4182,4183,4208,4460,4520,4572,4584
"0480 Nyköping","inom 2000 meter från hållplats","samtliga bostäder",24597,24826,24893,25095,25271,25926,26429,26677
"0481 Oxelösund","inom 2000 meter från hållplats","samtliga bostäder",5944,5946,5948,5955,5992,6024,6036,6132
"0482 Flen","inom 2000 meter från hållplats","samtliga bostäder",7381,7348,7351,7376,7348,7416,7416,7411
"0483 Katrineholm","inom 2000 meter från hållplats","samtliga bostäder",14835,14937,14961,15025,15317,15431,15517,15806
"0484 Eskilstuna","inom 2000 meter från hållplats","samtliga bostäder",46540,46813,47058,47232,47989,48316,49041,50061
"0486 Strängnäs","inom 2000 meter från hållplats","samtliga bostäder",14112,14279,14493,14715,14927,15266,15490,15531
"0488 Trosa","inom 2000 meter från hållplats","samtliga bostäder",4601,4683,4726,4813,5287,5461,5499,5567
"0509 Ödeshög","inom 2000 meter från hållplats","samtliga bostäder",1750,1751,1639,1714,1952,1953,1856,1856
"0512 Ydre","inom 2000 meter från hållplats","samtliga bostäder",972,974,974,972,977,982,984,988
"0513 Kinda","inom 2000 meter från hållplats","samtliga bostäder",3629,3634,3583,3622,3640,3679,3699,3696
"0560 Boxholm","inom 2000 meter från hållplats","samtliga bostäder",1995,1995,2004,2030,2029,2030,2039,2026
"0561 Åtvidaberg","inom 2000 meter från hållplats","samtliga bostäder",4684,4693,4647,4776,4908,4943,4940,5031
"0562 Finspång","inom 2000 meter från hållplats","samtliga bostäder",9468,9477,9485,9564,10077,10119,10150,10147
"0563 Valdemarsvik","inom 2000 meter från hållplats","samtliga bostäder",2868,2871,2871,2907,3268,3265,3245,3254
"0580 Linköping","inom 2000 meter från hållplats","samtliga bostäder",71825,72580,73375,76286,78512,79761,81081,82615
"0581 Norrköping","inom 2000 meter från hållplats","samtliga bostäder",62433,63184,63927,64679,65897,66624,66978,68073
"0582 Söderköping","inom 2000 meter från hållplats","samtliga bostäder",4902,4934,5007,5043,5097,5019,5098,5137
"0583 Motala","inom 2000 meter från hållplats","samtliga bostäder",19297,19488,19271,19421,19748,19875,20014,20154
"0584 Vadstena","inom 2000 meter från hållplats","samtliga bostäder",3387,3390,3291,3317,3328,3359,3389,3427
"0586 Mjölby","inom 2000 meter från hållplats","samtliga bostäder",11517,11538,11618,11783,11854,11945,11991,12084
"0604 Aneby","inom 2000 meter från hållplats","samtliga bostäder",2101,2102,2194,2225,2171,2187,2210,2208
"0617 Gnosjö","inom 2000 meter från hållplats","samtliga bostäder",2896,2915,2916,2964,3168,3176,3412,3247
"0642 Mullsjö","inom 2000 meter från hållplats","samtliga bostäder",2896,2907,2916,2985,2991,3021,3010,3034
"0643 Habo","inom 2000 meter från hållplats","samtliga bostäder",4149,4174,4253,4349,4400,4454,4314,4393
"0662 Gislaved","inom 2000 meter från hållplats","samtliga bostäder",11595,11577,11611,11603,11745,11790,11736,11810
"0665 Vaggeryd","inom 2000 meter från hållplats","samtliga bostäder",4729,4641,4632,4693,4752,5101,5113,5151
"0680 Jönköping","inom 2000 meter från hållplats","samtliga bostäder",60763,61142,61959,63169,63907,65042,65895,66889
"0682 Nässjö","inom 2000 meter från hållplats","samtliga bostäder",13049,13189,13192,13367,13737,13852,13723,14044
"0683 Värnamo","inom 2000 meter från hållplats","samtliga bostäder",13320,13443,13605,13876,14309,14394,14140,14462
"0684 Sävsjö","inom 2000 meter från hållplats","samtliga bostäder",4356,4339,4333,4432,4468,4531,4521,4596
"0685 Vetlanda","inom 2000 meter från hållplats","samtliga bostäder",10293,10172,10218,10705,11210,11134,10329,10941
"0686 Eksjö","inom 2000 meter från hållplats","samtliga bostäder",7567,7583,7566,7690,7826,7911,7961,8003
"0687 Tranås","inom 2000 meter från hållplats","samtliga bostäder",8671,8684,8693,8731,8804,8916,8721,8798
"0760 Uppvidinge","inom 2000 meter från hållplats","samtliga bostäder",3945,3945,3945,4055,4091,4132,4071,4091
"0761 Lessebo","inom 2000 meter från hållplats","samtliga bostäder",3305,3307,3307,3643,3706,3679,3701,3774
"0763 Tingsryd","inom 2000 meter från hållplats","samtliga bostäder",4930,4989,5022,5078,5080,5084,5096,5089
"0764 Alvesta","inom 2000 meter från hållplats","samtliga bostäder",7246,7271,7302,7336,7548,7631,7717,7698
"0765 Älmhult","inom 2000 meter från hållplats","samtliga bostäder",5594,5663,5742,5912,5997,6122,6263,6374
"0767 Markaryd","inom 2000 meter från hållplats","samtliga bostäder",4152,4154,4157,4254,4292,4314,4351,4371
"0780 Växjö","inom 2000 meter från hållplats","samtliga bostäder",39872,39966,40351,41218,43461,44080,44494,45382
"0781 Ljungby","inom 2000 meter från hållplats","samtliga bostäder",10619,10666,10718,10875,11061,11121,11177,11320
"0821 Högsby","inom 2000 meter från hållplats","samtliga bostäder",2260,2260,2260,2517,2496,2484,2485,2482
"0834 Torsås","inom 2000 meter från hållplats","samtliga bostäder",2478,2478,2479,2488,2490,2505,2501,2480
"0840 Mörbylånga","inom 2000 meter från hållplats","samtliga bostäder",5794,5889,5911,5046,5653,5765,5887,5973
"0860 Hultsfred","inom 2000 meter från hållplats","samtliga bostäder",5740,6245,6259,6258,6280,6656,6402,6280
"0861 Mönsterås","inom 2000 meter från hållplats","samtliga bostäder",5498,5500,5511,5577,5823,5868,5871,5901
"0862 Emmaboda","inom 2000 meter från hållplats","samtliga bostäder",3124,3124,2889,2909,2904,2913,2915,2944
"0880 Kalmar","inom 2000 meter från hållplats","samtliga bostäder",31057,31442,31564,32172,33055,34366,34726,35331
"0881 Nybro","inom 2000 meter från hållplats","samtliga bostäder",7535,7731,7730,7781,8074,8245,8038,8164
"0882 Oskarshamn","inom 2000 meter från hållplats","samtliga bostäder",12187,12194,12202,12347,12468,12578,12723,12786
"0883 Västervik","inom 2000 meter från hållplats","samtliga bostäder",15859,15886,15930,16035,16484,16589,16407,16477
"0884 Vimmerby","inom 2000 meter från hållplats","samtliga bostäder",6093,6101,6102,6137,6200,6214,6205,6249
"0885 Borgholm","inom 2000 meter från hållplats","samtliga bostäder",3133,3274,3660,3486,3881,3750,3998,3681
"0980 Gotland","inom 2000 meter från hållplats","samtliga bostäder",20549,21045,21613,21969,23380,23846,24216,24435
"1060 Olofström","inom 2000 meter från hållplats","samtliga bostäder",6102,6091,6071,6080,5502,5525,5566,6253
"1080 Karlskrona","inom 2000 meter från hållplats","samtliga bostäder",27958,28299,28060,29103,29707,29508,30096,30570
"1081 Ronneby","inom 2000 meter från hållplats","samtliga bostäder",11296,11598,11340,11371,11810,11895,11939,11984
"1082 Karlshamn","inom 2000 meter från hållplats","samtliga bostäder",14452,14456,14756,15034,15054,15105,15132,15154
"1083 Sölvesborg","inom 2000 meter från hållplats","samtliga bostäder",7437,7590,7658,7558,7686,7652,7713,7728
"1214 Svalöv","inom 2000 meter från hållplats","samtliga bostäder",4929,5026,5035,5142,5200,5130,5195,5211
"1230 Staffanstorp","inom 2000 meter från hållplats","samtliga bostäder",9139,9176,9332,9505,9693,10041,10267,10394
"1231 Burlöv","inom 2000 meter från hållplats","samtliga bostäder",7218,7227,7257,7386,7505,7867,8336,8372
"1233 Vellinge","inom 2000 meter från hållplats","samtliga bostäder",13365,13547,13737,14066,14246,14148,14269,14675
"1256 Östra Göinge","inom 2000 meter från hållplats","samtliga bostäder",5613,5612,5612,5715,5740,5775,5795,5750
"1257 Örkelljunga","inom 2000 meter från hållplats","samtliga bostäder",4025,4039,4058,4108,4191,4224,4254,4292
"1260 Bjuv","inom 2000 meter från hållplats","samtliga bostäder",6301,6303,6308,6311,6336,6387,6372,6416
"1261 Kävlinge","inom 2000 meter från hållplats","samtliga bostäder",11504,11694,11748,11879,12025,12140,12270,12523
"1262 Lomma","inom 2000 meter från hållplats","samtliga bostäder",9233,9304,9437,9655,9860,9901,9958,9956
"1263 Svedala","inom 2000 meter från hållplats","samtliga bostäder",7473,7515,7523,7744,7891,8080,8165,8301
"1264 Skurup","inom 2000 meter från hållplats","samtliga bostäder",5986,6002,5979,6039,6103,6209,6341,6550
"1265 Sjöbo","inom 2000 meter från hållplats","samtliga bostäder",6537,7620,7685,7765,7802,7859,7875,7882
"1266 Hörby","inom 2000 meter från hållplats","samtliga bostäder",5201,5557,5562,5631,5656,5712,5757,5824
"1267 Höör","inom 2000 meter från hållplats","samtliga bostäder",6225,6237,6293,6353,6399,6475,6387,6645
"1270 Tomelilla","inom 2000 meter från hållplats","samtliga bostäder",4709,5270,4743,4873,5408,5453,5500,5569
"1272 Bromölla","inom 2000 meter från hållplats","samtliga bostäder",5426,5428,5464,5557,5661,5668,5661,5657
"1273 Osby","inom 2000 meter från hållplats","samtliga bostäder",5321,5424,5433,5488,5555,5595,5602,5495
"1275 Perstorp","inom 2000 meter från hållplats","samtliga bostäder",2963,2963,2964,3007,3017,3020,3008,3039
"1276 Klippan","inom 2000 meter från hållplats","samtliga bostäder",6638,6656,6659,6740,6792,6800,6870,6900
"1277 Åstorp","inom 2000 meter från hållplats","samtliga bostäder",6224,6226,6231,6268,6343,6355,6419,6364
"1278 Båstad","inom 2000 meter från hållplats","samtliga bostäder",6258,6332,6380,6785,6926,7106,7259,7296
"1280 Malmö","inom 2000 meter från hållplats","samtliga bostäder",153785,155106,156697,160696,164584,167472,171016,173727
"1281 Lund","inom 2000 meter från hållplats","samtliga bostäder",57915,58551,59151,60266,60832,63403,63676,64807
"1282 Landskrona","inom 2000 meter från hållplats","samtliga bostäder",19768,19999,20093,20259,20446,20530,20587,21180
"1283 Helsingborg","inom 2000 meter från hållplats","samtliga bostäder",64965,65214,66432,68277,69591,70213,70509,71434
"1284 Höganäs","inom 2000 meter från hållplats","samtliga bostäder",11408,11477,11549,11607,11786,11811,12021,12037
"1285 Eslöv","inom 2000 meter från hållplats","samtliga bostäder",13107,13254,13432,13562,13706,13816,14117,14149
"1286 Ystad","inom 2000 meter från hållplats","samtliga bostäder",13336,13678,13374,13619,13801,13969,14241,14614
"1287 Trelleborg","inom 2000 meter från hållplats","samtliga bostäder",18267,18423,18567,18918,19609,19742,19822,20172
"1290 Kristianstad","inom 2000 meter från hållplats","samtliga bostäder",34604,34942,35392,35761,36165,36843,37060,37382
"1291 Simrishamn","inom 2000 meter från hållplats","samtliga bostäder",8470,9466,9039,9067,9476,9528,9577,9712
"1292 Ängelholm","inom 2000 meter från hållplats","samtliga bostäder",17517,17615,17727,17922,18328,18722,19016,19328
"1293 Hässleholm","inom 2000 meter från hållplats","samtliga bostäder",20133,20946,20952,21029,21117,21323,21587,21547
"1315 Hylte","inom 2000 meter från hållplats","samtliga bostäder",3589,3591,3591,3464,3694,3719,3745,3731
"1380 Halmstad","inom 2000 meter från hållplats","samtliga bostäder",44328,44628,44920,46009,46596,47163,48045,48487
"1381 Laholm","inom 2000 meter från hållplats","samtliga bostäder",8747,8765,8938,9094,9390,9580,9745,10039
"1382 Falkenberg","inom 2000 meter från hållplats","samtliga bostäder",17531,17608,17849,18096,18655,19116,19434,19870
"1383 Varberg","inom 2000 meter från hållplats","samtliga bostäder",24933,24969,25608,26040,26966,27514,28077,28832
"1384 Kungsbacka","inom 2000 meter från hållplats","samtliga bostäder",30334,30749,31344,32002,33052,33109,33298,33834
"1401 Härryda","inom 2000 meter från hållplats","samtliga bostäder",13594,13711,13816,14121,14204,14364,14749,15147
"1402 Partille","inom 2000 meter från hållplats","samtliga bostäder",14864,14988,15090,15396,15975,16084,16107,16103
"1407 Öckerö","inom 2000 meter från hållplats","samtliga bostäder",4703,4729,4759,4838,4831,5121,5144,5140
"1415 Stenungsund","inom 2000 meter från hållplats","samtliga bostäder",10215,10348,10376,10655,10692,10904,11105,11276
"1419 Tjörn","inom 2000 meter från hållplats","samtliga bostäder",6407,6417,6435,6678,6762,6824,6954,6970
"1421 Orust","inom 2000 meter från hållplats","samtliga bostäder",6341,6371,6402,6414,6588,6676,6745,6683
"1427 Sotenäs","inom 2000 meter från hållplats","samtliga bostäder",4265,4271,4386,4729,4876,4994,5002,5056
"1430 Munkedal","inom 2000 meter från hållplats","samtliga bostäder",3923,3932,3964,3962,3919,3951,3972,3980
"1435 Tanum","inom 2000 meter från hållplats","samtliga bostäder",3902,3901,4026,4023,4449,4580,4626,4728
"1438 Dals-Ed","inom 2000 meter från hållplats","samtliga bostäder",1761,1768,1809,1918,1933,1942,1932,1929
"1439 Färgelanda","inom 2000 meter från hållplats","samtliga bostäder",2599,2600,2600,2605,2606,2601,2609,2609
"1440 Ale","inom 2000 meter från hållplats","samtliga bostäder",11607,11922,12092,12641,12799,12992,13077,13268
"1441 Lerum","inom 2000 meter från hållplats","samtliga bostäder",15123,15230,15524,16011,16231,16497,16605,16662
"1442 Vårgårda","inom 2000 meter från hållplats","samtliga bostäder",3632,3661,3759,3931,3969,4016,4037,4079
"1443 Bollebygd","inom 2000 meter från hållplats","samtliga bostäder",2506,2584,2674,2752,2785,2829,2858,2890
"1444 Grästorp","inom 2000 meter från hållplats","samtliga bostäder",1828,1831,1835,1845,1972,1989,2116,2094
"1445 Essunga","inom 2000 meter från hållplats","samtliga bostäder",1642,1595,1643,1756,2189,2260,2279,2273
"1446 Karlsborg","inom 2000 meter från hållplats","samtliga bostäder",3193,3210,3265,3278,3346,3361,3355,3347
"1447 Gullspång","inom 2000 meter från hållplats","samtliga bostäder",2308,2309,2309,2424,2411,2422,2414,2420
"1452 Tranemo","inom 2000 meter från hållplats","samtliga bostäder",3751,3769,3798,3807,4533,4566,4289,4665
"1460 Bengtsfors","inom 2000 meter från hållplats","samtliga bostäder",3417,3419,3436,3444,4332,4358,4328,4310
"1461 Mellerud","inom 2000 meter från hållplats","samtliga bostäder",2766,2690,2769,2748,3213,3302,3365,3363
"1462 Lilla Edet","inom 2000 meter från hållplats","samtliga bostäder",5498,5514,5561,5608,5714,5722,5766,5782
"1463 Mark","inom 2000 meter från hållplats","samtliga bostäder",12753,12862,12932,13044,13226,13170,13265,13419
"1465 Svenljunga","inom 2000 meter från hållplats","samtliga bostäder",3659,3662,3687,3750,3897,3950,3868,3879
"1466 Herrljunga","inom 2000 meter från hållplats","samtliga bostäder",2980,2985,3002,3022,3046,3071,3094,3484
"1470 Vara","inom 2000 meter från hållplats","samtliga bostäder",4710,4714,4715,4721,5365,5204,5305,5491
"1471 Götene","inom 2000 meter från hållplats","samtliga bostäder",4820,4824,4825,4868,4956,4969,4930,4943
"1472 Tibro","inom 2000 meter från hållplats","samtliga bostäder",4657,4667,4673,4723,4812,4818,4833,4446
"1473 Töreboda","inom 2000 meter från hållplats","samtliga bostäder",3544,3561,3565,3647,3646,3739,3752,3732
"1480 Göteborg","inom 2000 meter från hållplats","samtliga bostäder",267870,270376,272423,275974,279617,283397,288415,293794
"1481 Mölndal","inom 2000 meter från hållplats","samtliga bostäder",27730,27939,28538,29728,30415,30663,31170,31300
"1482 Kungälv","inom 2000 meter från hållplats","samtliga bostäder",17772,17973,18085,18467,18986,19483,19992,20259
"1484 Lysekil","inom 2000 meter från hållplats","samtliga bostäder",7312,7321,7337,7362,7463,7456,7547,7544
"1485 Uddevalla","inom 2000 meter från hållplats","samtliga bostäder",24850,25148,25368,25690,26101,26315,26452,26567
"1486 Strömstad","inom 2000 meter från hållplats","samtliga bostäder",5176,5248,5390,5397,5647,5770,5879,5748
"1487 Vänersborg","inom 2000 meter från hållplats","samtliga bostäder",16139,16179,16212,16492,16639,16735,16969,17195
"1488 Trollhättan","inom 2000 meter från hållplats","samtliga bostäder",26273,26430,26595,27197,27245,27754,27979,28080
"1489 Alingsås","inom 2000 meter från hållplats","samtliga bostäder",16891,17033,17236,17553,17792,18115,18452,18727
"1490 Borås","inom 2000 meter från hållplats","samtliga bostäder",49542,49613,49723,50371,50915,51340,51650,52021
"1491 Ulricehamn","inom 2000 meter från hållplats","samtliga bostäder",8962,9070,9235,9392,9466,9502,9620,9725
"1492 Åmål","inom 2000 meter från hållplats","samtliga bostäder",5739,5669,5740,5801,5876,5870,5893,5886
"1493 Mariestad","inom 2000 meter från hållplats","samtliga bostäder",10724,10682,10743,10889,11018,11100,11135,11980
"1494 Lidköping","inom 2000 meter från hållplats","samtliga bostäder",16845,16935,17136,17255,17682,17754,17813,17933
"1495 Skara","inom 2000 meter från hållplats","samtliga bostäder",8317,8322,8338,8215,8307,8334,8355,8348
"1496 Skövde","inom 2000 meter från hållplats","samtliga bostäder",24985,25118,25267,25703,26315,27005,27333,27495
"1497 Hjo","inom 2000 meter från hållplats","samtliga bostäder",3789,3795,3797,3845,3884,3879,3882,3904
"1498 Tidaholm","inom 2000 meter från hållplats","samtliga bostäder",5003,5003,5003,5005,5186,5194,5169,5278
"1499 Falköping","inom 2000 meter från hållplats","samtliga bostäder",12880,12895,12931,13021,13049,13257,13347,13394
"1715 Kil","inom 2000 meter från hållplats","samtliga bostäder",4480,4481,4427,4483,4482,4529,4540,4603
"1730 Eda","inom 2000 meter från hållplats","samtliga bostäder",2850,2847,2880,2899,3034,3012,3016,3010
"1737 Torsby","inom 2000 meter från hållplats","samtliga bostäder",3090,3091,2995,3133,4778,4579,4654,4756
"1760 Storfors","inom 2000 meter från hållplats","samtliga bostäder",1438,1497,1498,1537,1543,1548,1562,1544
"1761 Hammarö","inom 2000 meter från hållplats","samtliga bostäder",6172,6239,6330,6412,6484,6776,6826,6835
"1762 Munkfors","inom 2000 meter från hållplats","samtliga bostäder",1998,1998,1998,2109,2122,2131,2130,2131
"1763 Forshaga","inom 2000 meter från hållplats","samtliga bostäder",4941,4942,4942,5013,5044,5079,5089,5089
"1764 Grums","inom 2000 meter från hållplats","samtliga bostäder",3615,3623,3626,3634,3653,3665,3660,3660
"1765 Årjäng","inom 2000 meter från hållplats","samtliga bostäder",2929,2941,2943,2977,2989,3003,3224,3253
"1766 Sunne","inom 2000 meter från hållplats","samtliga bostäder",3757,3946,3760,3730,3850,3899,3931,3975
"1780 Karlstad","inom 2000 meter från hållplats","samtliga bostäder",44652,44902,45684,46273,47486,48207,48833,49271
"1781 Kristinehamn","inom 2000 meter från hållplats","samtliga bostäder",10958,11048,10995,11018,11032,11379,11394,11430
"1782 Filipstad","inom 2000 meter från hållplats","samtliga bostäder",5030,5034,5035,5045,5060,5044,5072,5002
"1783 Hagfors","inom 2000 meter från hållplats","samtliga bostäder",4824,4824,4824,4854,5228,5230,5232,5217
"1784 Arvika","inom 2000 meter från hållplats","samtliga bostäder",10871,10843,10667,11178,11475,11618,11624,11720
"1785 Säffle","inom 2000 meter från hållplats","samtliga bostäder",6012,6409,6361,6465,6504,6273,6291,6296
"1814 Lekeberg","inom 2000 meter från hållplats","samtliga bostäder",2338,2369,2399,2514,2648,2726,2770,2810
"1860 Laxå","inom 2000 meter från hållplats","samtliga bostäder",1885,2027,2440,2471,2141,2157,2144,2153
"1861 Hallsberg","inom 2000 meter från hållplats","samtliga bostäder",6520,6770,6895,6903,6884,6862,7005,7146
"1862 Degerfors","inom 2000 meter från hållplats","samtliga bostäder",3983,3982,4501,4516,4529,4531,4495,4504
"1863 Hällefors","inom 2000 meter från hållplats","samtliga bostäder",3211,3211,3209,3221,3221,3222,3216,3207
"1864 Ljusnarsberg","inom 2000 meter från hållplats","samtliga bostäder",1981,2054,2054,1986,2045,2056,2052,2052
"1880 Örebro","inom 2000 meter från hållplats","samtliga bostäder",67618,69811,69999,72154,73188,73357,74781,76224
"1881 Kumla","inom 2000 meter från hållplats","samtliga bostäder",8945,8973,9116,9169,8770,8813,8983,9172
"1882 Askersund","inom 2000 meter från hållplats","samtliga bostäder",3371,3662,3412,3514,3540,3568,3689,3694
"1883 Karlskoga","inom 2000 meter från hållplats","samtliga bostäder",14636,14434,14934,15068,15125,15247,15284,15280
"1884 Nora","inom 2000 meter från hållplats","samtliga bostäder",4340,4368,4527,4548,4580,4580,4591,4608
"1885 Lindesberg","inom 2000 meter från hållplats","samtliga bostäder",9434,9437,9490,9604,9734,9766,9710,9712
"1904 Skinnskatteberg","inom 2000 meter från hållplats","samtliga bostäder",1855,1641,1617,1669,2088,2092,1965,1665
"1907 Surahammar","inom 2000 meter från hållplats","samtliga bostäder",4399,4399,3976,4414,4481,4488,4532,4443
"1960 Kungsör","inom 2000 meter från hållplats","samtliga bostäder",3597,3604,3609,3624,3642,3664,3582,3587
"1961 Hallstahammar","inom 2000 meter från hållplats","samtliga bostäder",7139,7200,7236,7293,7303,7337,7346,7457
"1962 Norberg","inom 2000 meter från hållplats","samtliga bostäder",2915,2913,2898,2850,2862,2835,2835,2841
"1980 Västerås","inom 2000 meter från hållplats","samtliga bostäder",66480,67113,67754,69406,71607,72726,73774,74900
"1981 Sala","inom 2000 meter från hållplats","samtliga bostäder",9578,9580,9580,9657,9711,9756,9788,9778
"1982 Fagersta","inom 2000 meter från hållplats","samtliga bostäder",6483,6488,6492,6504,6509,6520,6515,6509
"1983 Köping","inom 2000 meter från hållplats","samtliga bostäder",11666,11675,11776,11772,11802,11811,11820,11814
"1984 Arboga","inom 2000 meter från hållplats","samtliga bostäder",6352,6569,6587,6617,6745,6751,6768,6438
"2021 Vansbro","inom 2000 meter från hållplats","samtliga bostäder",2564,2803,2683,2683,3056,3080,2819,3017
"2023 Malung-Sälen","inom 2000 meter från hållplats","samtliga bostäder",4775,4739,4200,4932,4688,4887,6124,6229
"2026 Gagnef","inom 2000 meter från hållplats","samtliga bostäder",3951,4148,4154,4205,4412,4399,4342,4399
"2029 Leksand","inom 2000 meter från hållplats","samtliga bostäder",6326,6621,6618,6673,7050,7051,6003,6015
"2031 Rättvik","inom 2000 meter från hållplats","samtliga bostäder",4587,4590,4607,4624,4826,5221,4957,4976
"2034 Orsa","inom 2000 meter från hållplats","samtliga bostäder",3158,3181,3033,3104,3498,3497,3625,3625
"2039 Älvdalen","inom 2000 meter från hållplats","samtliga bostäder",1388,1948,1938,1948,2914,2846,3132,3171
"2061 Smedjebacken","inom 2000 meter från hållplats","samtliga bostäder",4058,4270,4263,4494,4466,4925,4874,4858
"2062 Mora","inom 2000 meter från hållplats","samtliga bostäder",9357,9469,9508,9659,10053,10176,10278,10289
"2080 Falun","inom 2000 meter från hållplats","samtliga bostäder",26414,26659,26872,27118,27437,27750,28133,28371
"2081 Borlänge","inom 2000 meter från hållplats","samtliga bostäder",23300,23921,24095,24308,24639,24885,24915,25035
"2082 Säter","inom 2000 meter från hållplats","samtliga bostäder",4244,4396,4398,4396,4819,4817,4911,4639
"2083 Hedemora","inom 2000 meter från hållplats","samtliga bostäder",6623,6965,7018,7220,7453,7402,7389,7238
"2084 Avesta","inom 2000 meter från hållplats","samtliga bostäder",10873,10938,10939,11090,11466,11411,11296,11310
"2085 Ludvika","inom 2000 meter från hållplats","samtliga bostäder",12855,12906,12909,12995,13094,13703,13740,13812
"2101 Ockelbo","inom 2000 meter från hållplats","samtliga bostäder",1850,1850,1851,1851,1860,1866,1867,1895
"2104 Hofors","inom 2000 meter från hållplats","samtliga bostäder",4517,4518,4518,4511,4536,4524,4530,4515
"2121 Ovanåker","inom 2000 meter från hållplats","samtliga bostäder",4394,4404,4412,4443,4650,4494,4560,4746
"2132 Nordanstig","inom 2000 meter från hållplats","samtliga bostäder",3489,3727,3460,3496,3800,3791,3797,3781
"2161 Ljusdal","inom 2000 meter från hållplats","samtliga bostäder",7349,7351,7361,7497,7583,7680,7678,7738
"2180 Gävle","inom 2000 meter från hållplats","samtliga bostäder",47676,47768,47967,49128,49789,50543,50789,51373
"2181 Sandviken","inom 2000 meter från hållplats","samtliga bostäder",18236,18293,17907,17970,18463,18617,18665,18697
