"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0114 Upplands Väsby","inom 2000 meter från hållplats","samtliga bostäder",18066,18715,18950,19282,19669,20220,20537,20714
"0115 Vallentuna","inom 2000 meter från hållplats","samtliga bostäder",11803,11836,12086,12469,12663,13158,13081,13330
"0117 Österåker","inom 2000 meter från hållplats","samtliga bostäder",16443,16704,17094,17513,17997,18431,18907,19065
"0120 Värmdö","inom 2000 meter från hållplats","samtliga bostäder",15709,16011,16310,17045,18369,18750,18861,19191
"0123 Järfälla","inom 2000 meter från hållplats","samtliga bostäder",29553,30226,31898,32478,33508,34003,34560,36284
"0125 Ekerö","inom 2000 meter från hållplats","samtliga bostäder",9580,9691,9723,9912,10074,10102,10253,10424
"0126 Huddinge","inom 2000 meter från hållplats","samtliga bostäder",41374,41721,42788,44241,44973,45227,45714,45996
"0127 Botkyrka","inom 2000 meter från hållplats","samtliga bostäder",33611,33795,34093,34767,35407,35994,36240,36572
"0128 Salem","inom 2000 meter från hållplats","samtliga bostäder",6260,6338,6368,6419,6486,6505,6636,6724
"0136 Haninge","inom 2000 meter från hållplats","samtliga bostäder",33483,34042,34532,35332,36240,37340,38378,38799
"0138 Tyresö","inom 2000 meter från hållplats","samtliga bostäder",18049,18321,18608,19124,19538,20025,20116,20235
"0139 Upplands-Bro","inom 2000 meter från hållplats","samtliga bostäder",10132,10441,10679,10865,11565,11856,12699,12802
"0140 Nykvarn","inom 2000 meter från hållplats","samtliga bostäder",3579,3525,3570,3606,3987,4094,4028,4265
"0160 Täby","inom 2000 meter från hållplats","samtliga bostäder",27446,27964,28579,28880,29476,31057,31460,32020
"0162 Danderyd","inom 2000 meter från hållplats","samtliga bostäder",12634,12647,12763,12944,12957,12941,13024,13152
"0163 Sollentuna","inom 2000 meter från hållplats","samtliga bostäder",28002,28541,28860,29356,29578,30064,30816,31804
"0180 Stockholm","inom 2000 meter från hållplats","samtliga bostäder",462712,467100,471498,479554,487839,493409,497405,501719
"0181 Södertälje","inom 2000 meter från hållplats","samtliga bostäder",39094,39232,39400,39955,41238,41559,42156,42562
"0182 Nacka","inom 2000 meter från hållplats","samtliga bostäder",39522,40160,40725,41495,42941,43830,44626,45230
"0183 Sundbyberg","inom 2000 meter från hållplats","samtliga bostäder",22290,22790,23363,23957,24779,25520,25977,26635
"0184 Solna","inom 2000 meter från hållplats","samtliga bostäder",38830,39951,40502,41125,41664,42923,43127,44249
