"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"0114 Upplands Väsby","inom 1000 meter från hållplats","samtliga bostäder",17963,18611,18846,19181,19593,20142,20462,20637
"0115 Vallentuna","inom 1000 meter från hållplats","samtliga bostäder",11149,11043,11281,11786,11814,12442,12157,12397
"0117 Österåker","inom 1000 meter från hållplats","samtliga bostäder",15666,15918,16304,16686,17063,17644,18018,18182
"0120 Värmdö","inom 1000 meter från hållplats","samtliga bostäder",14366,14686,14983,15697,17179,17522,17625,17934
"0123 Järfälla","inom 1000 meter från hållplats","samtliga bostäder",29515,30188,31860,32439,33491,33962,34543,36268
"0125 Ekerö","inom 1000 meter från hållplats","samtliga bostäder",9087,9192,9224,9404,9669,9688,9835,10007
"0126 Huddinge","inom 1000 meter från hållplats","samtliga bostäder",41293,41504,42707,44160,44892,45146,45630,45914
"0127 Botkyrka","inom 1000 meter från hållplats","samtliga bostäder",33261,33452,33748,34423,35062,35647,35886,36217
"0128 Salem","inom 1000 meter från hållplats","samtliga bostäder",6233,6311,6341,6391,6460,6478,6607,6694
"0136 Haninge","inom 1000 meter från hållplats","samtliga bostäder",32539,33101,33580,34474,35436,36580,37527,37926
"0138 Tyresö","inom 1000 meter från hållplats","samtliga bostäder",17663,18008,18294,18759,19215,19889,19981,20097
"0139 Upplands-Bro","inom 1000 meter från hållplats","samtliga bostäder",9805,10093,10324,10482,11277,11564,12357,12454
"0140 Nykvarn","inom 1000 meter från hållplats","samtliga bostäder",3232,3227,3269,3298,3637,3802,3667,3912
"0160 Täby","inom 1000 meter från hållplats","samtliga bostäder",27401,27919,28534,28836,29427,31007,31410,31970
"0162 Danderyd","inom 1000 meter från hållplats","samtliga bostäder",12488,12499,12615,12796,12941,12925,13008,13136
"0163 Sollentuna","inom 1000 meter från hållplats","samtliga bostäder",27995,28534,28853,29349,29571,30057,30810,31798
"0180 Stockholm","inom 1000 meter från hållplats","samtliga bostäder",462679,467070,471468,479523,487813,493382,497380,501695
"0181 Södertälje","inom 1000 meter från hållplats","samtliga bostäder",37804,37936,38112,38664,40037,40375,40912,41315
"0182 Nacka","inom 1000 meter från hållplats","samtliga bostäder",39418,40056,40620,41382,42833,43719,44447,45118
"0183 Sundbyberg","inom 1000 meter från hållplats","samtliga bostäder",22290,22790,23363,23957,24779,25520,25977,26635
"0184 Solna","inom 1000 meter från hållplats","samtliga bostäder",38830,39951,40502,41125,41664,42923,43127,44249
"0186 Lidingö","inom 1000 meter från hållplats","samtliga bostäder",20104,20435,20540,20842,21181,21298,21686,21754
"0187 Vaxholm","inom 1000 meter från hållplats","samtliga bostäder",4213,4277,4360,4604,4974,4996,5105,5067
